年度,1人当たり年間研修時間,CO₂排出量,ESG連動型役員報酬比率,ISO14001認証取得比率,PBR,ROE,エネルギー消費強度（売上高あたり）,グリーン調達率（環境配慮部品調達比率）,コンプライアンス研修受講率,コード・オブ・コンダクト研修受講率,サイバーセキュリティ訓練受講率,サプライチェーン排出量,サプライヤーCSR監査実施率,サプライヤー労働安全監査件数,ダイバーシティ比率（外国籍社員）,ダイバーシティ研修受講率,データ漏えいインシデント件数,ハラスメント相談件数,バイオマス燃料使用量,ボランティア延べ時間,メンタルヘルス研修受講率,リスク管理委員会開催回数（年間）,ワークライフバランス満足度,健康診断受診率,内部監査実施率（計画比）,内部統制監査件数,内部通報受信件数,内部通報対応完了率,再生可能エネルギー使用率,冷媒使用量,労働時間遵守率,労働災害発生件数（休業含む）,化学物質排出量（PRTR対象物質）,化石燃料使用量,危機管理訓練実施回数（年間）,反贈賄研修受講率,取締役会自己評価実施率,取締役会議出席率,取締役報酬総額,地域社会支援投資額,女性比率（従業員全体）,女性管理職比率,安全衛生研修受講率,平均勤続年数,廃プラスチック使用量削減率,廃棄物リサイクル率,廃棄物排出量（一般＋産業）,従業員幸福度スコア,従業員数（連結）,排出権取得量,新卒3年定着率,有害廃棄物排出量,株主総会出席率,株主議決権行使率,森林保全活動面積,水使用強度（売上高あたり）,水使用量（総量）,温水・蒸気消費量,独立社外取締役比率,環境イノベーション投資額,環境マテリアリティ重要課題達成度,環境リスク評価実施率,環境教育受講率,環境監査実施率,環境関連投資額,環境関連罰金・制裁額,生物多様性保全プロジェクト件数,男女別平均給与比率（女性/男性）,男性育児休業取得率,監査役会議出席率,省エネ設備投資額,研究開発費,社会貢献活動参加者数,社員1人当たり社会貢献支出額,社員エンゲージメントスコア,社員離職率（年間）,税務デューデリジェンス実施率,育児休業取得率（女性）,障がい者雇用率,電力消費量（総量）,高齢者雇用率（65歳以上）
2001,30555964490.558117,59490.57476703328,5.745907648653849e+25,9529.706512558496,1.8386053220375451,6.544627926840055,16947.824401407517,9.814818776992874,78.38289259955555,10.876413216697658,11.411104644894275,8.406155415918489,2.3582879444360305,5.792705530310888e-07,1.592128462865803e-07,269.6034660821554,7.958567862256862e-06,3.8986198351926287e+18,353947.18174052285,48954.35232302126,4.471390468919915,256.33203786164046,22.29267944652432,99.04679829066009,139.05471141046132,10.22160281485239,5.388828250219917e-36,263.2302880128518,8.127566142798536,10.995397047811087,95.1284341082003,2.7908095388546386e+18,0.0008525650041488473,0.0006152015328441787,0.1922578558170974,29.009544791725784,203.65358482993764,14.215044954396804,1.7492155486457381,308.2979244503293,41.35792820567772,49.149810626845934,94.72923267972021,14.1194935629825,915812867.8608539,269.8265593862334,1376375.6602098043,23.698188354484287,140267.00070912874,3.168794779433486e-63,78.69134963779722,0.0010649109943449704,9.686184806235506,39.85096619753864,3.976993373136862e-07,93952.57267701415,144338.487713991,11.317125308141515,22.192409717247383,115.01796943585396,4.528666890375152e+23,1129.3711514446632,6.510626798761822,1.3086782964814976,436138.13801138726,3.327426677593024e+35,0.39639429907071794,1383.2457308476976,40.283428291509544,42.38666798498435,30422357.17247124,163.80821090851217,82387521771555.17,116538.7686285403,14.461736142174438,155.2258274974561,61.92632167124266,80.1639593439821,2.1526646027537124,142133802.06042707,347358.86693650536
2002,1.246113068157752e-06,24676.74890387482,7714736.4491384905,2.760600961751465,2.3545110340203617,6.651980522052458,2.1002925802924005e-05,124775.13973896307,64.42429863175204,346.6722553528175,1387.6444146661108,126801.46905842988,23.001075874912512,0.012520526869944745,36170977753.7457,722.6495271997426,11427245028226.553,7.28146491435022e-12,1553911.016691078,4122.089220243106,760.9982496104254,15.77162675295896,277.69471433703603,98.9847555495255,332.38173914934185,11.068407213557116,259692247664225.62,20.503320832640153,12.336279571193774,20640951.566702496,96.68830647415243,2.9042059192979593e-05,0.08790596369851436,2119463.831225563,2.2132994565513305e-07,106.41982370749326,492.10956653524534,2205.2385376696398,3428.5014824276723,1672.1982566333497,55.09675269343172,10.172291984314269,6923.7550203725,13.38309722084994,64460607.46428619,0.6768138471159046,58607528.38508914,1947.3470987431192,3717844.6891898606,165777970575673.88,70.04612616745894,1.2117104346847888e-06,316.4284322171783,13.35884879413351,8.039909992848556e-27,10.800185915658211,109958564081.43634,4414944.665313391,16068.818156417903,18369283.16845478,2.728061169195953e-14,7944.171039671954,9015.41146757423,188.12693994135614,2974.8391031255605,1.4640862602646016e-37,490.70829815836623,1708.5626338962468,22115.418611412926,668.9969435857861,743297.5063738291,138.03000412466793,659531.1162095526,10523.32850110304,3862.975273563241,416.30703212481495,533.9405418376336,70.1714837839319,1.6851145194614234,1429330.8955783972,1.5156442975566853e-11
2003,0.00534562469446225,155074.08911650383,991870.334288368,62.42929453306275,2.0613805011228865,6.20289532476073,2.763575370754834e-10,169.9756070191364,74.57243305349651,1400.2076163484817,792.5988576962551,13.46360170042183,128629.55328816832,6.945312526690176e-25,8693165.592506288,1301.4725544941005,7.438174471186405e-06,2.952511517297276e-13,15581071.863318644,0.7652629275410167,4.430174621322052,0.9173249800130432,78.90763669609163,99.65765088969671,3472.0275666399875,3.148077866079884,73.71845675278666,99.10200672294341,8.615261008341715,0.10889504735562511,99.15290490881432,63203.42044138202,319710291.82336444,0.00023931642060237422,2.422360367274116,499.50051415146527,17.4572968435859,123.02998916484799,539506746.3271413,0.20323434932560938,68.61279219914248,13.450454380273003,817.5480446648448,13.35008342464826,32935.70173003486,1216285.2854729316,41665125678161.516,186.08539531733933,896.8944894655863,7.111630242615772e-42,83.11265674184871,0.06801019391660032,29.551426897985735,33.65019724435007,3.1901257982735105e-16,7.721587235918153e-05,7641670.393209514,32121502472630.516,0.3956776735245677,2328.4328629538886,2.8991918372361085e-10,148.8720824687499,230.37246475164395,150.8442941545424,1584854.2558721376,3.690272673196687e+37,2.0968590910898864e-06,484.62356949193577,1465.2062151494201,297.4928111407629,1520.55460844894,206.11825895624116,155.86267001256036,18472225.27668806,70.90461829353238,6.511063746777528,99.27769362890204,81.7727459201956,2.749178817158344,677437.5484891408,1224683668.858871
2004,2.0427334900502895e-07,34999.82252058838,9.915261950299541e-12,3270.1761093753216,1.4785864508948388,7.153796630527625,0.00010694936881607322,6.186122302482079e-05,63.69986750100224,6.145648238877902,89.96156451348214,86115784.68077932,112.23777811596959,6173758371861.9795,0.04414725017346907,2.43516874157492,1.6040964587870967e-22,5604376042649.044,6017.4075141814865,0.00013968358693854877,0.0767347175809765,70.85754643541809,1.9726934871861836,98.84139082034876,52.683796442602976,10304081.630498523,8.129196045818647e-07,1.2009159188271439,13.208837982175215,8.215215983993805e-05,94.37425827601975,0.45892051499344316,4.040078300809572e-05,416.9463142758155,335.41640829427354,2.106639923628187,11.44910710924229,7.774397183641656,1.3440165243856885,10805623.370842027,37.879794856497604,11.88656051252071,2.567358225709821,12.227037165269122,1.5586318831601348e-05,0.004277431171363,69053828.50578667,31.242432423130513,115.30711322144961,1.1634732245737224e-12,77.85738872347856,6.624000647352934e-05,12.84836039076451,1.624334513470868,0.0008675220253912187,33.09453933011272,0.7458921927891172,1.763405989172145e-05,1.233975252846459,2398.665483619273,697172.5059914835,0.07466823174994583,534.2414522969001,1.1373747170340238,0.9473822737336195,4.229820924344574e-13,5367.317484524774,6.890651560639314,1.2842921565690217,1.9694270558877527,7.883256737824573,154.82800350425003,12.76903395487977,8110758.373811881,0.22869142703307344,554.7209502495936,41.97931482841764,67.60416329382842,2.2064609803087323,3380.83181278505,131.2046014941194
2005,312080235.97335637,42325.50407246555,549563108278.62085,160.09870502692073,2.0213686137353895,6.41507854368707,0.00035904305010280897,5679168.132752725,105.53835208054227,574.728638881606,39.290202849553054,3948962312.1213264,0.47541041350976776,5.019807726801306e-14,0.00011684084103311704,766.7798244693278,565.370502156302,0.00015528338550341945,5164.014788182192,11107564.427895004,243.95847622257935,2.6727861576271897e-07,3296.5738207501486,100.07111158891338,3490.897662964126,0.017529163859664756,1.1076331842475757e-23,1294.053077167185,46.7765216848184,27721.57257111326,89.43726809119771,1.5802555680576354e-07,11094511971.64551,302180557.12937284,886.6451027529066,1257.646333550285,386.61829363603744,115.5427854968637,3.6608028595521542,316.15684853846824,30.84958935414149,13.980890792109625,225.76190106024043,15.15935848225828,0.002192597649511128,5868.062002405322,62538.48909262797,19.062434838521824,14010.970714419518,3658234089.8928227,67.71067168849393,2518380831.412379,26.042907722264157,822.452179634317,1.0205968608499179e-07,1.0453387645679264e-09,554.3807121415131,5978184.134231285,525.3498433801163,8403.906598551148,6354316573.573624,0.7475863180679041,820.4247263647775,164.3561148005884,2784441.7854743893,6.466089301254571e-68,4.0106182017025406e-05,35.45404069236982,107313.39288945273,293.16555448770583,29.303080165452347,179.35686479692663,157725200138849.34,1.5099068840281524,440.23028761672083,0.6906004379513775,227.8233023096663,119.86275968450543,2.7573745910091825,13.100154812258415,9.009799668500163e-10
2006,0.849426034010415,30257.33289723423,2.779176685179965e-13,0.003773103424863167,1.7026473803790854,5.5625249218517085,0.7157269872359231,2417.274615751857,60.834760958407074,56.031959975150826,52.32591158848879,385.83352476945464,511.17697583853993,27.015802055663457,3416823.519410102,64.89117333189657,2.8956612091595285e-12,2.954711397732456e-10,0.009556938602905286,26253533.503205527,157.5802825102339,16875364472.408731,38.4689165412344,99.57572905955378,16.550575216164297,1.639630911210621e-07,11.439483438509711,161.98009755164034,25.93325282377823,10885.783962452191,93.97579433722748,0.005904978895576911,1.73632277063553e-08,766504.0011523631,768.9713404618043,11.569233269707944,3826.678088129612,71.72691659986197,90603144.90949312,11246360437703.645,39.50437509292773,18.92748003610977,5.951957815379331,12.558716078919183,395.167185020211,7427.021535183728,807.606509894396,54.69290450681011,642.0912286948495,9524537.607698753,65.8849921802809,70.12003225855196,14.615923765873944,140.0458766064285,0.11230706987532632,856963.8406709288,1506914455525.2837,2343251335.8196993,2829.6075584692953,53.10155398689441,6.651825218462635e-10,102.41529263076296,264.9071563774784,311.9170481057549,28.84931361308019,1.695759457590065e+42,13197746.62604515,1.5812487356850025,0.003066949271192544,42.51139290513211,0.008548998221106935,140.76430528440076,127497.45108526884,599.0965607878856,2.0830415264622477,0.9998361954309455,40.23940726685701,67.02570778368403,1.7783992916564917,971454.6112252974,0.0033021917393578483
2007,231.87294004926835,42099.97152354941,3.0001532749418817e-15,4.429609092263957,1.8923070925800125,6.604724845391283,0.0012040702433842414,0.1460911815054424,241.52845894257973,2.1684257628945214,8.689870279220132,0.002170143051932214,35.258992371648574,149131274606.04047,11922.456118864455,789.1230942900121,0.005273059826018586,2.838823700472538e+16,1064674.3692263577,9.891057084421162e-10,0.8212527328094796,0.6624518087082082,375.0849298568005,99.76215644246496,0.8153924249926587,10.473773963018013,9.233682245639378e-23,10.2988329456826,182.0732273033029,0.5305884987899213,88.89361337586608,0.0024027569460871178,8389.863142172386,154941.78147325534,0.3712277520140002,9.909232928720629,8.574619195493348,38.372636497644955,10222.443584879164,1659623297.3786378,38.570203652822784,12.707139465060942,29.79899852667969,14.388346866288748,0.04301715954169572,19.85332262766433,0.98512562454913,32.93110982604406,193616.56773238283,1.7899246162258717e-36,64.06513492927587,3174.886039748677,208.37657123383494,7036.230049686237,0.0005332647630833057,71.4196948128668,16604292.039379444,1.4488367469605693e-06,13.744364786211278,0.20608265017625133,0.38049972003671717,2496.276568667289,69.25556300764862,4.702064542371118,3.981629947180851,2.696558497991541e-08,6.655935551995661e-09,95.75257653262025,779.5196128709662,42.49994111733765,1350278142.5449853,173.19140921071434,23891434263874.875,111.49806899851522,14.188487628145351,0.003661109768307962,130.6837375456184,222.00151820660997,2.0600889075151088,1868887.8015843953,2.1802403223791647
2008,223.1231275640841,55496.232677812404,64074525.17300509,36388.37380215947,1.771459368838038,5.60951599709936,5824.276071072549,0.007406826017324711,81.56344874861732,96.18940961095721,97.38378691821383,1229692673.5515096,0.8506128789914962,6.70485791214222e-14,1472516265252.3389,219.74113210733967,0.07855112860473834,3.935668048310506e+23,3.20433152759569e-11,291.89727037370557,154.47959023125722,628.1963459772685,84.56720402849886,99.51824888900957,87.53109976530412,30634190152.829132,1.2597998178242488e-17,151.52008043445431,18.066516807069604,826.984601802362,102.7739443963752,6.739903631159981e-09,382.77774723285455,2429.1148825634727,139.14624488379897,332.87669968511847,1126.3221612949608,81.3615797884497,124.80693002797362,1.4380825495123844e-05,62.15461642664588,27.983707467973897,53.3590367367672,14.06937163793784,4805.859732205138,3.5570092757133667,101846590.67959467,10.638035733081995,117.30199925280475,6.764016815313554e+35,90.68421143785514,4700.935789958948,415.62067397493325,13.345981461860854,1.5198208846858478e-18,0.001418958821681268,1251258261.5645235,0.305730506757815,152463609.0111147,0.6606256752935926,41745072283.81801,3.042812619433642,138.68420063301357,37.77345813348122,802.5568436261924,1.9643121698417538e+20,0.01225995864187469,404.48673811251797,137316.5991450712,85.60681528636854,18920.495803441798,179.43871936758757,4.7513566653733875e-05,3.773135019226633,194.7675448402747,14.958209626569467,66.15199029014954,91.99679917317626,2.414190692941194,130.84285188521935,1394385427.5866804
2009,4.3044812690388884e-07,,1.2124501933715197e-11,791.6184443880995,1.8750677676529148,6.947574106250203,158.01616278753073,198.00421386478934,105.39734943994026,14.804344714979333,30.05788471716589,419.0668397652533,4.006602169904084,3.2324578202725756e-25,0.004164834374105491,9.806213748321282,776053545568.0948,378.56410091090373,179.38220444990915,13534.904646975514,1034.2642486533282,8.42451294362374e-08,20.354155031960733,99.52725460349363,89.70264543279914,1.7269770005445913e-05,2.206753265499347e-12,8.590704083842974,32.62955782712034,15107.38039299466,90.08897175886261,6.244214537628229e-10,831.424084745268,2673.1708569171465,1.8240609474620246,62.11774043411781,172.14296954883386,16.78202312912876,6468390.554705005,1.5448502408667431e+29,32.627697204582105,9.365080701586542,0.8092095458876056,16.288262291974306,0.290295066622437,0.47390105592354503,63.04806945443569,65.15792891828879,8532.770362761086,3.683395012144841e-52,59.40530245742819,3984.513890276413,7.57599858386567,390.58674648633166,1.1579743013117867e-13,16035562.085757036,1.2607895674742021e+17,130803200.9029913,24.07908687002472,25775666.317155045,2.714923263968001e+22,186.33429194474422,318.9475994276818,698.4067265596942,29728725781.94325,1871.5786917028236,2.077159460157968e-05,20.203574234229883,81.08399054554026,57.66859956839856,806128464.5271984,,22.631644984733608,15618.917803534308,6.283830345556303,1.758086948729531e-07,57.620215829774324,114.0360679353531,2.0955105302316883,33108.12142937673,30.789801960771054
2010,45205343695.370346,,5.372091896996857e-08,554.4725825836802,1.7128356416601418,6.368372480245354,9565.445024545956,7644.749838704751,85.53021119772824,77.48305130153469,0.490879160010087,6702055.972709679,1220.7151301733827,796.196191150947,0.0001058060226016152,24.652879612400746,720676.3706326558,1977044374087.0674,5.988493602731435e-06,733831166.3968145,1780.2865731544555,157470.49619565142,40.819575580178714,99.13482235890015,9.065479029395556,27.78572274568672,2.211787528902888e-22,444.01174043117754,15.475884826010953,0.0004769746830382892,120.73777607139533,0.0007949881507662021,2475.1441707852964,15139311.658212522,12328.947639407723,10.562031074206796,89.14248191306758,50.29847338411369,158046.8746170457,8.657987537972708e-11,129.78876787462926,13.717992442836026,29.91593324521109,16.78384297021178,1.2079276730128463,9081.517135152095,91253258629.67735,1008.5512377554538,4647.5936872835755,6.25589571096695e-13,136.03350914148226,0.0004046320001220944,9.327569548608633,44.01001613005252,37755875.343211934,3353.6960036275314,5350.283184749933,1131162452.43953,17.476158735118922,12.285332415825327,1.724204985887411e-12,151.27266060609838,210.37233572288946,65.25085614820419,34936.99495860069,1.4176970532698146e+73,0.000248974519357817,32.445555257225074,1.4620084300008096e-06,82.12140545016834,0.23841537471602708,,733489792.4143556,0.00033271983421017515,19.239278054584474,3319063.930330065,312.84217401852385,88.2887884310001,2.910590794250041,88.4734193291992,461250.543603807
2011,46194.46120878211,,5.36474639839198e-09,2.304562390913922,1.8365729931994008,6.652092807093679,2.3519958681582227e-07,2.6312452362994274,91.00711852637144,125.78218971111741,31.359704712817763,3.6845951038358726e-07,4.454359750309386,1.5939376701012552e-07,0.8326952184225362,2245.9356864454153,10.131622314025902,280801408.38695073,0.0010150311392962907,0.9345515880831011,177.88386725895182,48.090002340634705,71.83492500875941,,2853.1358276091714,4.6548706731279055e-07,1.122471073260302e+17,39.73914334407264,21.379754673575114,0.00010901249712666441,96.57654930731023,3.476166551489644,8607843189.350554,7.765092551112368e+16,0.0001031137534019344,130.8572455266525,29.253154970600193,75.8036815812262,64028382.070201136,385135379.70775515,53.30045366269829,28.46099933730677,18.12177040423138,21.08323101994199,11739.174073017271,2.4403923558066603,300598.4884389475,6263.307237015076,465309.3906461826,5.0612664136577174e-27,76.3677890922084,15.522984137923991,1183.078473949279,2.3625164351501877,2.3419781328069182e-09,3.2395761260407285,136.2058747745734,23444.615022848742,0.05850105397750827,5491.101421627282,424026139.26117533,5.688132068062065,17.207079304811597,12.07963047780525,2709.235751451066,5.83926671604057e-32,39.060084907522764,423.01272406250837,0.0011537504264823148,72.31156111787134,0.013024109739894867,,0.004131893261029151,47145.49528330011,102.72546643747087,38.90172332267529,40.50186983713224,103.85058522872255,,36034614.91154188,8946.66823087891
2012,104.17954978703135,,5.804803495935184e-07,6.413284872550632,1.705468489918614,6.411991611126864,32.38444675727971,1375.049573645644,108.30818502391634,21.626297367350848,2.8670315949362055,0.008751900015621499,0.08095335133763229,126.27006874639629,0.008166381355513466,28.294456950238274,1.2639380888308898e-05,0.0008375291696619339,2301.102606495263,272.5446124467571,45.481775069347194,2194.1959986132306,17.37898102571638,,9.596612421613441,0.0004546271803117015,2.7520004548760873e+23,382.3530569319995,25.710578670512188,0.0005090264674329892,102.68244180475405,3.163969253836608e+42,0.20152104984044047,6.965114946338411,26535481.50842956,1080.1395644531538,10.205922889836234,12.662485669634862,9.481063678901598e-06,0.00025596753577304855,66.49110893551,20.411760614763764,64.18673180098386,12.078621967587063,52.47824867042544,17.434633651916958,39.71473413415025,21.535622950365983,8386.612071599693,105823815081.65839,86.51536392664092,19280.45081406775,12.959178620429295,2124.836071333776,6.89801770229834e-20,631.7097780592856,4.029150329399747,6.615779140337224e-12,0.022159577114028016,270.3209839481705,34884759435.274796,45.58950040228316,115.95355633776302,0.43996256868699135,0.11593984485523567,4.473705469678409e-13,46.62635735211207,10.150722321049342,59.0756847153034,15.745698795002689,150952.02777681148,,65.89428403089151,216043902499.38983,66.66500330310538,1.5589802116955345e-05,12.991957585329908,112.5341775828941,,50286509836.59459,49341.07054868889
2013,426.78431628422834,,1.1695053438756666e-09,5626.9751080401575,1.9414949076675097,5.9481468753124345,0.0026854639577343613,1934.5593325555792,,302.07118987419597,21.23688647874054,4834696553249.973,593.126529941201,1.0906806473139201e-06,62.443599164426914,176.33681960937642,2.5038655011795062e-15,7.736007348606273e-05,0.0031782887642616705,3.67543492388716,4365.3503971220825,0.0025520544730329485,199.37154442412762,,80.05819089982337,2853550.4586691908,2.840635575282166e-21,292.2668790852481,,5626.792580796988,94.50170874045614,2.695157404336499e-18,79195.84708448843,208930.1745769895,85304225.22141884,108.7935991400214,936.9585647714836,205.28162223251127,202503063.4566546,0.00021034587268626455,46.826730687675955,25.94597855385577,598.3989687101996,13.687617779592655,0.32167119531992644,0.10253922736820009,1282150.8730970155,7026.392819043375,67072.1291320834,1.153606630771832e+52,70.7830567057351,587693688864768.5,801.2457775539066,91.71194705190672,564706500.9137828,1.8285244876942528,3.0339695712292207,485.9313711199489,643.6151625216289,2.3977337013110804,448716957.2791665,326.2233465473884,5230.594621612202,41.617394633741554,249033.53202446457,44505217341440.12,196333648668.376,158.04250612144625,39113.61524692176,632.1412577264387,3.529572299885063e-05,,2240846.42596512,110189226146.9174,57.29064428081895,0.5757812589044522,56.38292394178932,,,379537.72781599814,271.1377580432834
2014,1.004076154230343e-07,,1556365548.9506075,3.4565839427068337,1.5738068337709639,5.5518427750513695,2.5070794286002336e-08,13656.688941960454,,43.99543338581295,39.53281108056552,992.887447177561,14.39121145302681,36227140308.57529,2.607321750124418,122.4751912041249,1.169444691990387e-09,7.55075732539646e-08,2888.5394093017885,347.6068717997553,696.3036631118707,18.466725843591288,19.018634897216113,,0.8713584912751589,0.8235408950975964,4.491438528966656e+17,38.53947858851417,,0.5878152056294903,98.81863713941819,5875521229.032393,2781555341.482628,3.0985414473613924,9.32718322780367e-05,393.34728512204333,66.00194394653504,20.365309024025347,320.200581660572,2.1961023867055965e-16,56.3091506494071,,23.126907206477192,18.292888918978708,266096087.60967362,59.53272524192194,2484.4129323893935,109.16275587352975,158.95248213173448,9.294551996356708e-21,84.36517189500822,2403.2837070885203,0.7813568571412493,0.27299835673480416,520827725560.4877,3.1518128997542607e-06,65890264300.16815,0.018161899864326227,1894.36912490186,3010.2973625444247,2.8609991547484683e-05,64.97520176791046,1.8874693459605316,5.310634782123999,2.5491609713889223,4.945635980294798e+25,8783277816255279.0,21.644925768123866,8.486296493548839,15.389222181451133,369.29808473628617,,1.6132626123298513e-08,8.359898056617658e-08,0.5758766608329124,6.930437198548441,28652.61185565555,,,380597.99404311174,0.11814105431245342
2015,8.933053905921916,,11029616.693171471,13.132849943921281,2.357106828686178,5.792951961344012,0.1359833131585165,393.4046601309034,,844.892309575784,467.57772302272684,154763.56776891727,30262.641657126427,87856488.7341528,70476034.5825023,344.46305920431644,5.128590302052497,361600590521217.3,12450.146654482958,0.00028399116672685,8030.14335166221,3661.7281381295847,4983.422286503552,,302.7658896221018,74963385.6193352,824748180951683.9,7623.9935963018,,16146114.787233539,101.00018669283514,1708.3183457745192,30620.676193117164,3641030.6007661344,0.004821963668230409,8018.580091377617,213.31210043279174,2389.6796167307652,371.0604446284456,2051.7987374025256,60.88622697940715,,1100.9170026361824,20.162041455738677,2668.354088767713,919.7928424168794,52508073.394976534,881.0848422059314,10.028031667721136,7.230261811719026e-18,86.44362123396972,845762510.0002203,16734.508688173173,332.4333511280677,2.4848379986529083e-29,2.0599373147210668e-09,33948154316.238304,4.74180495082385e-10,16.449719234130864,0.25561953770340906,86209305.25353198,992.2694963237534,2267.603543258003,716.0518972736456,16.02490818703591,3.3281339148176576e+20,2.284601247828583e-05,989.9258242086995,8.642801052774564,2344.696372228687,3217533.4299440314,,3813568103865.709,3565.4723962754947,332.39772569508614,10179.908969937609,524.1687144125491,,,7510897019.80718,17640.49210529003
